Pathway,Aims,Cell type,Senescence induced,Senescence type,Drugs ,Dosage [uM],Exposure time [h],Controls ,Device ,Results ,Analysis ,Sources ,N
SA-G-Gal,Test,IMR90 ,RAS with 4OHT 6 days  ,OIS,DMG,2.5,,Caspase 3/7 reagent ,,,,Galactose-modified duocarmycin prodrugs as senolytics,
,,,,,,0-10,,,Cell survival calculation ,,,,
,Test,IMR90,etoposide,,"DMG, ABT263","1,5,10",,,Cell survival calculation ,ABT263 better except HMEC,,,
,,IMR90,doxorubicin ,,,,,,,,,,
,,IMR90,Gy,,,,,,,,,,
,,IMR90,,RS,,,,,,,,,
,,HMEC,ER:RAS with 4OHT 6 days,,"DMG, ABT263",,,,Cell survival calculation ,No effect on ABT263 but DMG inefficient ,,,
,Test,IMR90,ER:RAS with shRNA knockdown B gal,,,,,,,,,,
CD9 receptors,Tracking,HDF ,P8/P20/P23,RS,CD9-Lac/CaCO3(coumarin-6) ,,,confocal microscopy,cellular uptake,,,Progressive slowdown/prevention of cellular senescence by CD9 targeted delivery of rapamycin using lactose-wrapped calcium carbonate nanoparticles,
,,,,,,,,ACS assessements,,,,,
,Test,HDF,P20/P23,RS,CD9-Lac/CaCO3(rapamacyn) ,,, H2DCF,FACS,,ROS level diminution,,
,,,,,,,,"p53,p21,CD9 and cyclin D1",western blot ,,cell cycle blocking,,
,,,,,,,,"IL-6, IL-8",PCR,,,,
,,,,,,,,BruD staining ,confocal images ,,,,
B2MG,Test,EJp16,tet removal ,OIS,B2M nanoMIPS fluorescein tagged ,,,,Fluorescent microscopy particules quantification with FACS and ImageJ,,,Detecting and targeting senescent cells using molecularly imprinted nanoparticles,
,,,,,,,,24h incubation PI ,FACS,,,,
,,,,,,,,cell viability ,MTS,,,,
,Test,EJp16,tet removal ,OIS,"Oligomycin, gramicidin, ABT263, Quercetin, Dasatinib ","0.01, 0.1, 1, 5, 10",48,PI  staining ,FACS,,,,
,,,,,,,,viability ,MTS,,,,
,Test,EJp16,tet removal ,OIS,"B2M nanoMIPS dasatinib conjugated, dasatinib ",10,24,viability ,MTS,,,,
DPP4,Tracking,WI-38,IR,,,,,mRNA ,RT-qPCR,,,Identification of senescent cell surface targetable protein DPP4,
,,HUVEC,4Gy,,,,,"DPP4, ACTB",Western blot ,,,,
,,HAEC,4Gy,,,,,,,,,,
,,WI-38,IR,,Anti-DPP4 antibody targeting DPP4 surface + Nk cells,,,"metabolic, viability ",MTT,,,,
Bcl-2 family ,Test,BJ,HP treatment ,,"Quercetin, MNP, MNPQ","2.5, 5, 7.5, 10, 15",24,"metabolic, viability ",MTT,,,AMPK-mediated senolytic and senostatic activity of quercetin surface functionalized Fe3O4 nanoparticles during oxidant-induced senescence in human fibroblasts,
,,,,,,,,Cell proliferation ,Ki67 staining,,,,
,,,,,,,,cell counting ,TC10,,,,
,,,,,,,,Muse kit ,Cycle cell progresssion ,,,,
,,,,,,,,"p21, p53, B actin, GLUT1, LC3B, IFNB, pAMK",western blot ,,,,
,,,,,,,,Cell membrane permeability ,dye exclusion assay ,,,,
,,,,,,,,Extracellular acidification rate (ECAR) and Oxygen comsumption rate (OCR),,,,,
